GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",2569,2275,31,15,44,3,114,87
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",2625,2259,77,13,26,1,176,73
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",1556,1109,69,14,38,0,251,75
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",4595,4318,28,23,58,1,99,68
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",3998,2863,174,32,49,2,757,121
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",3974,3495,51,28,58,1,236,105
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",4314,3737,62,31,77,7,277,123
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",4035,2567,57,17,1033,2,179,180
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",4202,4064,18,8,20,0,56,36
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",3904,3768,17,18,16,3,33,49
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",3878,3574,37,14,90,0,86,77
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",450,315,54,0,2,0,79,0
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",4468,4174,46,3,155,0,51,39
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",3368,3094,49,11,123,0,51,40
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",4437,3934,83,9,208,0,123,80
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",4195,3173,137,21,60,0,640,164
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",4075,3009,202,25,57,3,627,152
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",5821,5000,103,8,536,4,73,97
1400000US48453001715,48453001715,"Census Tract 17.15, Travis County, Texas",8091,6721,146,11,939,0,149,125
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",4052,3637,73,10,227,1,50,54
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",5550,4864,57,7,381,1,143,97
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",3677,3424,31,6,144,0,18,54
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",3419,2814,80,11,322,3,129,60
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",6052,4680,354,32,108,2,683,193
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",4266,3158,234,20,94,3,612,145
1400000US48453001732,48453001732,"Census Tract 17.32, Travis County, Texas",13267,11143,385,52,711,6,653,317
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",2883,2674,22,20,41,0,92,34
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",5135,4365,92,12,371,1,156,138
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",7212,6116,192,20,384,14,303,183
1400000US48453001739,48453001739,"Census Tract 17.39, Travis County, Texas",8105,6080,527,23,246,8,937,284
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",2511,2038,96,8,98,4,197,70
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",2834,2676,4,18,23,1,75,37
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",2645,2191,5,16,16,4,364,49
1400000US48453001743,48453001743,"Census Tract 17.43, Travis County, Texas",5958,5387,33,22,240,0,172,104
1400000US48453001744,48453001744,"Census Tract 17.44, Travis County, Texas",7047,5539,395,32,550,3,320,208
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",2393,2062,98,9,95,0,76,53
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",3979,2980,178,19,159,6,501,136
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",4545,3295,252,19,91,0,724,164
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",2292,1945,68,11,19,1,198,50
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",4786,3719,222,30,237,3,454,121
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",4739,3327,167,27,220,9,775,214
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",2098,2015,15,11,27,0,7,23
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",3893,2791,75,11,691,1,191,133
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",1154,954,41,6,106,0,34,13
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",4757,4109,159,21,222,4,171,71
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",4920,4041,75,2,651,5,51,95
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",4462,3847,106,18,262,0,138,91
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",1837,1579,40,4,155,0,28,31
1400000US48453001758,48453001758,"Census Tract 17.58, Travis County, Texas",2647,2262,80,5,210,0,49,41
1400000US48453001759,48453001759,"Census Tract 17.59, Travis County, Texas",2674,2247,84,9,168,1,114,51
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",3786,3405,55,15,188,1,41,81
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",4148,3796,46,13,196,2,48,47
1400000US48453001762,48453001762,"Census Tract 17.62, Travis County, Texas",9357,9038,82,15,74,0,71,77
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",4210,4019,10,13,23,0,75,70
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",4252,3783,105,18,133,5,108,100
