GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total:,Built 1999 to March 2000,Built 1995 to 1998,Built 1990 to 1994,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",2708,29,34,23,191,639,443,369,371,609
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",1768,6,29,97,570,401,266,235,128,36
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",1442,5,0,28,109,461,405,294,78,62
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",1546,7,259,42,70,333,202,112,121,400
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",1403,0,6,76,109,282,215,164,221,330
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",827,17,13,104,251,111,148,112,26,45
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",2123,0,36,9,64,131,1176,648,51,8
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",1865,0,18,67,230,256,452,657,146,39
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",1901,13,8,11,141,116,256,1093,246,17
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",2201,0,13,67,318,256,251,850,409,37
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",2193,24,187,122,447,276,304,448,245,140
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",1956,13,26,17,40,79,117,500,674,490
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",1799,7,49,49,121,217,311,386,467,192
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",2201,0,8,56,290,244,176,460,515,452
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",0,0,0,0,0,0,0,0,0,0
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",2147,8,552,243,453,549,316,16,10,0
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",1785,0,49,58,754,785,114,11,0,14
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",2367,0,9,61,785,1034,436,33,9,0
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",1944,0,5,39,525,491,689,182,13,0
