GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US48209010902,48209010902,"Census Tract 109.02, Hays County, Texas",4463,286,3325,294,2692,297,633,228,159,106,474,200,1138,271,772,211,366,195
1400000US48209010905,48209010905,"Census Tract 109.05, Hays County, Texas",1988,161,1574,162,1269,209,305,133,137,106,168,91,414,174,350,185,64,51
1400000US48209010906,48209010906,"Census Tract 109.06, Hays County, Texas",3941,208,3030,239,2396,282,634,197,175,95,459,176,911,225,641,204,270,159
1400000US48209010907,48209010907,"Census Tract 109.07, Hays County, Texas",2986,172,2448,190,1645,257,803,210,283,136,520,158,538,164,438,145,100,61
1400000US48209010908,48209010908,"Census Tract 109.08, Hays County, Texas",3226,209,2464,235,1735,259,729,219,391,170,338,148,762,210,471,181,291,137
1400000US48209010909,48209010909,"Census Tract 109.09, Hays County, Texas",2011,156,1474,156,1134,145,340,119,141,104,199,79,537,136,431,126,106,62
1400000US48209010910,48209010910,"Census Tract 109.10, Hays County, Texas",2399,179,1951,207,1594,225,357,137,79,69,278,128,448,164,282,140,166,100
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",1945,111,860,105,662,105,198,80,70,52,128,60,1085,141,834,124,251,95
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1102,78,679,85,544,83,135,78,83,73,52,38,423,81,375,78,48,32
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",669,61,172,49,128,41,44,29,3,5,41,30,497,50,360,59,137,49
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1612,57,610,86,459,77,151,59,59,42,92,51,1002,105,787,101,215,76
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",2137,109,723,179,518,140,205,125,130,115,75,52,1414,207,976,179,438,153
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",1680,93,657,112,547,88,110,85,0,13,110,85,1023,110,759,131,264,79
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",2805,175,681,136,567,122,114,95,66,85,48,40,2124,190,1479,227,645,151
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",1439,92,504,107,337,90,167,94,27,29,140,93,935,117,632,115,303,90
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",1773,81,380,89,320,81,60,44,34,32,26,29,1393,113,866,147,527,110
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",1591,103,719,118,540,100,179,92,24,24,155,85,872,134,511,124,361,96
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",812,55,386,60,318,54,68,34,18,21,50,28,426,66,222,61,204,57
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",1514,90,403,75,307,65,96,58,25,23,71,48,1111,102,552,92,559,109
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",1451,88,515,116,269,85,246,103,106,74,140,77,936,127,588,119,348,110
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",2280,139,559,149,398,121,161,82,31,32,130,86,1721,180,1002,174,719,170
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",368,37,67,31,28,20,39,25,0,18,39,25,301,42,134,33,167,40
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",2427,177,181,95,31,30,150,92,75,61,75,62,2246,186,857,159,1389,178
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",1712,169,117,64,56,58,61,41,37,30,24,26,1595,181,781,206,814,167
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",634,75,139,41,109,33,30,24,6,9,24,21,495,78,361,78,134,47
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",606,44,308,53,204,50,104,45,41,32,63,36,298,57,253,54,45,30
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",1246,80,594,100,197,71,397,104,44,39,353,96,652,102,407,108,245,95
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",992,74,421,72,304,77,117,70,29,33,88,66,571,92,321,104,250,78
