,team,year,DL,LB,OL,QB,RB,S,ST,TE,WR,nDL,nLB,nOL,nQB,nRB,nS,nST,nTE,nWR
31,WAS,2013,14668238.0,19815079.0,19942967.0,5972967.0,2261058.0,12296561.0,2650000.0,4639357.0,19610688.0,9.0,13.0,10.0,3.0,5.0,12.0,4.0,4.0,8.0
32,ARI,2014,27501968.0,14835082.0,13729975.0,15901372.0,2640796.0,20062492.0,3114079.0,4719055.0,14681460.0,10.0,11.0,9.0,3.0,6.0,9.0,4.0,5.0,6.0
33,ATL,2014,16010491.0,15725656.0,26374966.0,18576474.0,6973727.0,12969158.0,5152284.0,1140146.0,17827688.0,9.0,9.0,13.0,3.0,5.0,13.0,3.0,2.0,6.0
34,BAL,2014,22263236.0,18652738.0,18324445.0,15471327.0,1834484.0,16739916.0,4507705.0,4298823.0,6852932.0,12.0,9.0,12.0,2.0,4.0,15.0,5.0,3.0,7.0
35,BUF,2014,36528232.0,13115242.0,19025895.0,6019386.0,11353332.0,19636292.0,3886667.0,3272899.0,6898694.0,6.0,11.0,9.0,2.0,4.0,13.0,4.0,4.0,7.0
36,CAR,2014,33042809.0,9286469.0,16585781.0,8743113.0,11080000.0,6542042.0,3319670.0,9685000.0,4122705.0,11.0,7.0,15.0,3.0,3.0,10.0,3.0,4.0,5.0
37,CHI,2014,8593105.0,20627870.0,16377987.0,19219117.0,8850845.0,16000073.0,3750445.0,7165647.0,11993868.0,10.0,10.0,10.0,3.0,3.0,12.0,4.0,4.0,6.0
38,CIN,2014,30632457.0,13670865.0,19517375.0,10928123.0,3446964.0,24273260.0,4480000.0,7780128.0,10679716.0,9.0,9.0,11.0,3.0,4.0,10.0,3.0,4.0,7.0
39,CLE,2014,17964558.0,20827536.0,30465971.0,2807979.0,1529300.0,24078996.0,1293529.0,4683350.0,10702435.0,9.0,8.0,11.0,4.0,4.0,12.0,4.0,4.0,8.0
40,DAL,2014,9235694.0,11184390.0,21402762.0,12343000.0,2708845.0,24957970.0,3350000.0,9965143.0,5529361.0,13.0,11.0,10.0,2.0,3.0,9.0,3.0,3.0,5.0
41,DEN,2014,9592397.0,20262169.0,25093632.0,18459096.0,2716563.0,22399024.0,4134862.0,3669295.0,18544359.0,9.0,10.0,9.0,2.0,5.0,11.0,4.0,4.0,6.0
42,DET,2014,38906750.0,12991134.0,12230451.0,17031668.0,6083370.0,9220273.0,1572428.0,5026872.0,18515189.0,12.0,8.0,10.0,3.0,4.0,11.0,3.0,4.0,6.0
43,GB,2014,12672506.0,29396955.0,18794243.0,19273750.0,2800378.0,26722857.0,5476250.0,2464445.0,9244743.0,10.0,11.0,10.0,3.0,3.0,11.0,3.0,4.0,7.0
44,HOU,2014,9761768.0,14824845.0,23069196.0,4895062.0,9244483.0,20521603.0,3491610.0,4412444.0,19749337.0,10.0,9.0,12.0,5.0,3.0,12.0,3.0,4.0,6.0
45,IND,2014,19325214.0,23332710.0,16435125.0,9779454.0,3988436.0,23743450.0,5770000.0,2787639.0,12201162.0,10.0,14.0,13.0,2.0,5.0,11.0,3.0,3.0,6.0
46,JAC,2014,28827556.0,13790331.0,16153124.0,9554831.0,5608261.0,7902378.0,5453856.0,10428882.0,8036348.0,10.0,9.0,9.0,3.0,4.0,14.0,3.0,4.0,9.0
47,KC,2014,14184541.0,24150668.0,12066035.0,8786939.0,11495196.0,23260679.0,4815666.0,5511664.0,17471719.0,8.0,10.0,10.0,4.0,5.0,12.0,3.0,4.0,8.0
48,LAC,2014,7070308.0,18104822.0,19956712.0,17844166.0,8517686.0,19174026.0,6678088.0,9226891.0,10637616.0,9.0,12.0,15.0,2.0,5.0,10.0,4.0,4.0,5.0
49,LA,2014,30646258.0,17152421.0,26253293.0,19930000.0,3635133.0,6797288.0,2087640.0,7990153.0,7020192.0,9.0,8.0,11.0,3.0,6.0,10.0,3.0,4.0,5.0
50,MIA,2014,24870125.0,19895599.0,19091038.0,8955046.0,5275690.0,19864053.0,5092343.0,2421713.0,28509027.0,12.0,9.0,12.0,2.0,6.0,14.0,3.0,3.0,7.0
51,MIN,2014,26781873.0,13035615.0,23999261.0,10227677.0,15981808.0,11858906.0,2410531.0,3825927.0,10106763.0,10.0,9.0,13.0,3.0,5.0,11.0,3.0,3.0,5.0
52,NE,2014,11381852.0,17898540.0,16269125.0,15433436.0,3967293.0,23564366.0,4940500.0,7302500.0,13868743.0,8.0,11.0,9.0,2.0,7.0,11.0,3.0,3.0,8.0
53,NO,2014,9960350.0,13833920.0,25308966.0,19035000.0,4996875.0,17437345.0,4665000.0,6181041.0,12159837.0,10.0,9.0,9.0,2.0,4.0,15.0,3.0,3.0,9.0
54,NYG,2014,18187191.0,9516358.0,19113136.0,21008400.0,5337479.0,25882590.0,4475000.0,1780824.0,12689471.0,13.0,7.0,14.0,2.0,7.0,15.0,3.0,4.0,8.0
55,NYJ,2014,9385333.0,14970134.0,26899053.0,5402877.0,6031125.0,12081342.0,4890000.0,3321132.0,15118079.0,8.0,7.0,10.0,3.0,3.0,11.0,3.0,4.0,10.0
