GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",3136,199,2424,193,1985,206,439,137,187,103,252,114,712,161,636,157,76,60
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",2853,219,2178,193,1685,223,493,194,92,98,401,176,675,192,591,172,84,83
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",4691,297,3473,346,2767,355,706,239,275,134,431,186,1218,284,838,269,380,191
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",3250,276,1879,224,1498,206,381,156,37,35,344,157,1371,266,1272,266,99,73
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",2067,245,1623,244,1144,246,479,208,109,98,370,189,444,181,346,167,98,79
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",2163,269,1667,265,1478,268,189,94,79,59,110,66,496,173,410,147,86,86
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",1910,185,1321,189,1018,178,303,128,166,99,137,77,589,136,504,127,85,54
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",1477,139,967,111,581,120,386,117,47,48,339,98,510,133,480,126,30,29
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",1851,192,1421,226,1101,225,320,151,94,83,226,129,430,190,328,133,102,105
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",2034,197,1708,233,1353,257,355,157,170,99,185,101,326,123,281,124,45,46
1400000US48055960101,48055960101,"Census Tract 9601.01, Caldwell County, Texas",1654,167,1240,135,885,142,355,129,96,78,259,112,414,132,370,136,44,30
1400000US48055960102,48055960102,"Census Tract 9601.02, Caldwell County, Texas",1192,128,842,152,583,146,259,102,116,76,143,89,350,123,285,122,65,55
1400000US48055960200,48055960200,"Census Tract 9602, Caldwell County, Texas",1215,135,752,124,565,121,187,88,62,63,125,60,463,164,366,146,97,61
1400000US48055960300,48055960300,"Census Tract 9603, Caldwell County, Texas",1549,137,1037,119,860,121,177,85,95,70,82,46,512,130,448,122,64,48
1400000US48055960400,48055960400,"Census Tract 9604, Caldwell County, Texas",1128,140,751,114,516,113,235,95,70,50,165,78,377,111,354,111,23,23
1400000US48055960500,48055960500,"Census Tract 9605, Caldwell County, Texas",1884,164,1355,168,865,142,490,140,80,40,410,144,529,131,323,85,206,94
1400000US48055960600,48055960600,"Census Tract 9606, Caldwell County, Texas",763,104,525,104,390,96,135,59,25,25,110,55,238,69,176,60,62,48
1400000US48055960700,48055960700,"Census Tract 9607, Caldwell County, Texas",2208,263,1359,174,947,202,412,156,38,45,374,154,849,292,680,272,169,122
1400000US48209010100,48209010100,"Census Tract 101, Hays County, Texas",1140,97,318,110,183,63,135,92,32,35,103,87,822,124,458,117,364,119
1400000US48209010200,48209010200,"Census Tract 102, Hays County, Texas",448,73,145,49,101,38,44,35,17,18,27,30,303,77,148,70,155,69
1400000US48209010302,48209010302,"Census Tract 103.02, Hays County, Texas",1638,157,811,134,431,99,380,123,171,98,209,83,827,169,614,163,213,89
1400000US48209010303,48209010303,"Census Tract 103.03, Hays County, Texas",2435,259,925,199,483,116,442,193,136,117,306,136,1510,285,677,227,833,249
1400000US48209010304,48209010304,"Census Tract 103.04, Hays County, Texas",2614,200,870,177,428,152,442,144,109,74,333,127,1744,235,1124,236,620,180
1400000US48209010400,48209010400,"Census Tract 104, Hays County, Texas",3178,234,1632,207,1172,194,460,157,142,130,318,154,1546,220,1008,215,538,184
1400000US48209010500,48209010500,"Census Tract 105, Hays County, Texas",1634,155,869,138,463,118,406,104,149,76,257,101,765,182,600,158,165,99
1400000US48209010600,48209010600,"Census Tract 106, Hays County, Texas",3734,212,2385,201,1813,228,572,171,205,119,367,137,1349,236,1133,223,216,111
1400000US48209010701,48209010701,"Census Tract 107.01, Hays County, Texas",3466,233,898,160,532,115,366,149,89,88,277,133,2568,270,1047,272,1521,292
1400000US48209010702,48209010702,"Census Tract 107.02, Hays County, Texas",1083,116,489,98,461,100,28,30,0,13,28,30,594,118,287,111,307,124
1400000US48209010803,48209010803,"Census Tract 108.03, Hays County, Texas",1984,202,1221,162,966,151,255,180,46,34,209,183,763,240,706,235,57,41
1400000US48209010804,48209010804,"Census Tract 108.04, Hays County, Texas",3618,202,2568,224,2290,227,278,119,118,72,160,88,1050,205,867,214,183,146
1400000US48209010805,48209010805,"Census Tract 108.05, Hays County, Texas",2092,152,1746,164,1631,155,115,61,35,39,80,49,346,163,321,160,25,25
1400000US48209010806,48209010806,"Census Tract 108.06, Hays County, Texas",1388,87,1078,140,997,154,81,48,34,28,47,36,310,122,270,117,40,45
1400000US48209010807,48209010807,"Census Tract 108.07, Hays County, Texas",741,109,615,124,407,127,208,94,100,76,108,62,126,57,109,54,17,20
1400000US48209010808,48209010808,"Census Tract 108.08, Hays County, Texas",2126,160,1697,173,1535,174,162,89,39,41,123,74,429,142,344,136,85,52
1400000US48209010809,48209010809,"Census Tract 108.09, Hays County, Texas",1665,136,1433,171,1275,161,158,85,109,82,49,39,232,104,192,98,40,51
1400000US48209010901,48209010901,"Census Tract 109.01, Hays County, Texas",2843,124,2308,163,2086,183,222,108,79,53,143,94,535,158,423,128,112,83
1400000US48209010902,48209010902,"Census Tract 109.02, Hays County, Texas",3671,245,2873,259,2384,264,489,153,98,75,391,146,798,213,606,185,192,121
1400000US48209010905,48209010905,"Census Tract 109.05, Hays County, Texas",1844,157,1420,163,1154,127,266,126,133,106,133,60,424,171,360,165,64,52
1400000US48209010906,48209010906,"Census Tract 109.06, Hays County, Texas",3442,233,2695,234,2132,228,563,182,186,89,377,162,747,243,569,225,178,119
1400000US48209010907,48209010907,"Census Tract 109.07, Hays County, Texas",2962,192,2204,251,1635,243,569,183,150,94,419,157,758,202,602,173,156,89
