state00,county00,tract00,geoid00,pop00,hu00,part00,area00,arealand00,state10,county10,tract10,geoid10,pop10,hu10,part10,area10,arealand10,areaapt,arealandpt,areapct00pt,arealandpct00pt,areapct10pt,arealandpct10pt,pop10pt,poppct00,poppct10,hu10pt,hupct00,hupct10
48,001,950900,48001950900,10792,4460,P,738044014,728364636,48,001,951000,48001951000,6988,3171,P,623401274,617423852,13434,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,001,951000,48001951000,6988,3171,W,623387840,617423852,48,001,951000,48001951000,6988,3171,P,623401274,617423852,623387840,617423852,100.00,100.00,100.00,100.00,6988,100.00,100.00,3171,100.00,100.00
48,003,950100,48003950100,1678,680,W,2623983177,2623983177,48,003,950100,48003950100,1678,680,W,2623983177,2623983177,2623983177,2623983177,100.00,100.00,100.00,100.00,1678,100.00,100.00,680,100.00,100.00
48,003,950200,48003950200,6473,2554,W,5112961,5112961,48,003,950200,48003950200,6473,2554,W,5112961,5112961,5112961,5112961,100.00,100.00,100.00,100.00,6473,100.00,100.00,2554,100.00,100.00
48,003,950300,48003950300,3924,1549,W,5218460,5187931,48,003,950300,48003950300,3924,1549,P,5218716,5188187,5218460,5187931,100.00,100.00,100.00,100.00,3924,100.00,100.00,1549,100.00,100.00
48,003,950400,48003950400,2711,1031,P,1253472152,1252545635,48,003,950300,48003950300,3924,1549,P,5218716,5188187,256,256,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,003,950400,48003950400,2711,1031,P,1253472152,1252545635,48,003,950400,48003950400,2711,1031,W,1253471896,1252545379,1253471896,1252545379,100.00,100.00,100.00,100.00,2711,100.00,100.00,1031,100.00,100.00
48,005,000100,48005000100,10758,4161,P,414776136,409680637,48,005,000101,48005000101,6311,2484,W,255931952,253263498,255931952,253263498,61.70,61.82,100.00,100.00,6311,58.66,100.00,2484,59.70,100.00
48,005,000100,48005000100,10758,4161,P,414776136,409680637,48,005,000102,48005000102,4447,1677,W,158819899,156392854,158819899,156392854,38.29,38.17,100.00,100.00,4447,41.34,100.00,1677,40.30,100.00
48,005,000100,48005000100,10758,4161,P,414776136,409680637,48,005,001001,48005001001,5377,1635,P,85339459,82743691,24285,24285,0.01,0.01,0.03,0.03,0,0.00,0.00,0,0.00,0.00
48,005,000200,48005000200,6580,2792,W,129905929,125549225,48,005,000200,48005000200,6580,2792,P,129906115,125549411,129905929,125549225,100.00,100.00,100.00,100.00,6580,100.00,100.00,2792,100.00,100.00
48,005,000300,48005000300,9939,3856,P,95362929,94620551,48,005,000301,48005000301,5326,2121,P,36862340,36546720,36861681,36546061,38.65,38.62,100.00,100.00,5326,53.59,100.00,2121,55.01,100.00
48,005,000300,48005000300,9939,3856,P,95362929,94620551,48,005,000302,48005000302,4613,1735,W,58489089,58062331,58489089,58062331,61.33,61.36,100.00,100.00,4613,46.41,100.00,1735,44.99,100.00
48,005,000300,48005000300,9939,3856,P,95362929,94620551,48,005,000400,48005000400,5479,2234,P,12697128,12626623,12159,12159,0.01,0.01,0.10,0.10,0,0.00,0.00,0,0.00,0.00
48,005,000400,48005000400,5479,2234,W,12667024,12596519,48,005,000400,48005000400,5479,2234,P,12697128,12626623,12667024,12596519,100.00,100.00,99.76,99.76,5479,100.00,100.00,2234,100.00,100.00
48,005,000500,48005000500,4006,1809,P,15165623,14849330,48,005,000301,48005000301,5326,2121,P,36862340,36546720,659,659,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,005,000500,48005000500,4006,1809,P,15165623,14849330,48,005,000500,48005000500,4006,1809,P,15190176,14873883,15163186,14846893,99.98,99.98,99.82,99.82,4006,100.00,100.00,1809,100.00,100.00
48,005,000500,48005000500,4006,1809,P,15165623,14849330,48,005,000600,48005000600,6416,2010,P,15502735,15434390,1187,1187,0.01,0.01,0.01,0.01,0,0.00,0.00,0,0.00,0.00
48,005,000500,48005000500,4006,1809,P,15165623,14849330,48,005,000700,48005000700,3292,1200,P,2892469,2892469,591,591,0.00,0.00,0.02,0.02,0,0.00,0.00,0,0.00,0.00
48,005,000600,48005000600,6415,2009,W,15499700,15431355,48,005,000600,48005000600,6416,2010,P,15502735,15434390,15499700,15431355,100.00,100.00,99.98,99.98,6415,100.00,99.98,2009,100.00,99.95
48,005,000700,48005000700,3292,1200,P,2936813,2936813,48,005,000400,48005000400,5479,2234,P,12697128,12626623,17945,17945,0.61,0.61,0.14,0.14,0,0.00,0.00,0,0.00,0.00
48,005,000700,48005000700,3292,1200,P,2936813,2936813,48,005,000500,48005000500,4006,1809,P,15190176,14873883,26990,26990,0.92,0.92,0.18,0.18,0,0.00,0.00,0,0.00,0.00
48,005,000700,48005000700,3292,1200,P,2936813,2936813,48,005,000700,48005000700,3292,1200,P,2892469,2892469,2891878,2891878,98.47,98.47,99.98,99.98,3292,100.00,100.00,1200,100.00,100.00
48,005,000800,48005000800,6300,2538,P,19101237,18952024,48,005,000600,48005000600,6416,2010,P,15502735,15434390,1848,1848,0.01,0.01,0.01,0.01,1,0.02,0.02,1,0.04,0.05
48,005,000800,48005000800,6300,2538,P,19101237,18952024,48,005,000800,48005000800,6299,2537,W,19099389,18950176,19099389,18950176,99.99,99.99,100.00,100.00,6299,99.98,100.00,2537,99.96,100.00
48,005,000900,48005000900,10087,4591,P,20927294,20822506,48,005,000901,48005000901,6342,2770,W,9881648,9873932,9881648,9873932,47.22,47.42,100.00,100.00,6342,62.87,100.00,2770,60.34,100.00
48,005,000900,48005000900,10087,4591,P,20927294,20822506,48,005,000902,48005000902,3745,1821,W,11045646,10948574,11045646,10948574,52.78,52.58,100.00,100.00,3745,37.13,100.00,1821,39.66,100.00
48,005,001000,48005001000,9666,3205,P,312048321,307956797,48,005,001001,48005001001,5377,1635,P,85339459,82743691,85315174,82719406,27.34,26.86,99.97,99.97,5377,55.63,100.00,1635,51.01,100.00
48,005,001000,48005001000,9666,3205,P,312048321,307956797,48,005,001002,48005001002,4289,1570,W,226733147,225237391,226733147,225237391,72.66,73.14,100.00,100.00,4289,44.37,100.00,1570,48.99,100.00
