Request ID,Location Name,Landmark,Request Type,Request Status,Evaluation Status,Funding Status,Evaluation Rank,Evaluation Score,Ranking Month,Ranking Year,Primary St Block,Primary St Prefix Direction,Primary St,Cross St Block,Cross St Prefix,Cross St,Evaluation ID,Location,Request Note,Location Latitude,Location Longitude
REQ15-000590,1ST ST / COPELAND ST (Texas School for the Deaf),Texas School for the Deaf,TRAFFIC,NOT RECOMMENDED,COMPLETED,None Identified,58,111,DEC,2016,900,S,1ST ST,601,,COPELAND ST,TVL16-002590,"(30.253294, -97.7532196)",Studying for a PHB,30.253294,-97.7532196
REQ15-000590,1ST ST / COPELAND ST (Texas School for the Deaf),Texas School for the Deaf,TRAFFIC,NOT RECOMMENDED,COMPLETED,None Identified,14,111,MAY,2015,900,S,1ST ST,601,,COPELAND ST,TVL15-000520,"(30.253294, -97.7532196)",Studying for a PHB,30.253294,-97.7532196
REQ15-000595,FM 2222 RD / HIGHLAND HILLS CIR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,98,65,DEC,2016,3552,,FM 2222 RD,5700,,HIGHLAND HILLS CIR,TVL16-002595,"(30.3395348, -97.7593307)",,30.3395348,-97.7593307
REQ15-000600,AVERY RANCH BLVD / DOUBLE EAGLE PASS,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,28,5,MAY,2015,15700,,AVERY RANCH BLVD,10200,,DOUBLE EAGLE PASS,TVL15-000510,"(30.5017547, -97.7568588)",,30.5017547,-97.7568588
REQ15-002030,BURNET RD / ASHDALE DR,,PHB,DESIGN,IN PROGRESS,TAP Grant,,688,DEC,2016,8004,,BURNET RD,2401,,ASHDALE DR,PVL16-001685,"(30.3585956, -97.7301715)",,30.3585956,-97.7301715
REQ16-002035,JOLLYVILLE RD / BELL AVE,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,110,275,DEC,2017,11640,,JOLLYVILLE RD,11600,,BELL AVE,PVL17-002060,"(30.4188473, -97.7518042)",,30.4188473,-97.7518042
REQ16-002045,8400 BLK CROSS PARK DR,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,15,436,DEC,2017,8400,,CROSS PARK DR,0,,,PVL17-002055,"(30.340061, -97.676723)",,30.340061,-97.676723
REQ16-002060,35TH ST / OAKMONT BLVD,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,54,391,DEC,2017,1822,W,35TH ST,3400,,OAKMONT BLVD,PVL17-002105,"(30.3084869, -97.75429847)",,30.3084869,-97.75429847
REQ16-002065,201 BLK W RUNDBERG LN (Barrington ES),Barrington ES,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,23,421,DEC,2017,201,W,RUNDBERG LN,0,,,PVL17-002095,"(30.362618, -97.694422)",,30.362618,-97.694422
REQ16-002105,5TH ST / WEST LYNN ST,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,11,442,DEC,2017,1600,W,5TH ST,500,,WEST LYNN ST,PVL17-002085,"(30.2737122, -97.76332593)",,30.2737122,-97.76332593
REQ15-000600,AVERY RANCH BLVD / DOUBLE EAGLE PASS,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,154,5,DEC,2017,15700,,AVERY RANCH BLVD,10200,,DOUBLE EAGLE PASS,TVL17-003740,"(30.5017547, -97.7568588)",,30.5017547,-97.7568588
REQ15-000650,WHELESS LN / DORCHESTER DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,122,15,DEC,2016,2012,,WHELESS LN,6200,,DORCHESTER DR,TVL16-002620,"(30.3130533, -97.6861015)",,30.3130533,-97.6861015
REQ15-000650,WHELESS LN / DORCHESTER DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,33,15,DEC,2015,2012,,WHELESS LN,6200,,DORCHESTER DR,TVL15-000385,"(30.3130533, -97.6861015)",,30.3130533,-97.6861015
REQ15-000650,WHELESS LN / DORCHESTER DR,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,147,15,DEC,2017,2012,,WHELESS LN,6200,,DORCHESTER DR,TVL17-003730,"(30.3130533, -97.6861015)",,30.3130533,-97.6861015
REQ15-000655,SLAUGHTER LN / ZUNIGA DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,104,55,DEC,2016,4500,W,SLAUGHTER LN,9401,,ZUNIGA DR,TVL16-002625,"(30.1965319, -97.8602275)",,30.1965319,-97.8602275
REQ15-000715,BLUEBONNET LN / ANITA DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,30,35,DEC,2015,1604,,BLUEBONNET LN,1801,,ANITA DR,TVL15-000470,"(30.2548272, -97.7720312)",,30.2548272,-97.7720312
REQ15-000715,BLUEBONNET LN / ANITA DR,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,137,35,DEC,2017,1604,,BLUEBONNET LN,1801,,ANITA DR,TVL17-003710,"(30.2548272, -97.7720312)",,30.2548272,-97.7720312
REQ15-000720,ANDERSON MILL RD / PECAN CREEK PKWY,,TRAFFIC,STUDY,COMPLETED,None Identified,,170,DEC,2016,10706,,ANDERSON MILL RD,11500,,PECAN CREEK PKWY,TVL16-002660,"(30.4469471, -97.81194141)",Being studied for a PHB,30.4469471,-97.81194141
REQ15-000720,ANDERSON MILL RD / PECAN CREEK PKWY,,TRAFFIC,STUDY,COMPLETED,None Identified,16,170,DEC,2015,10706,,ANDERSON MILL RD,11500,,PECAN CREEK PKWY,TVL15-000465,"(30.4469471, -97.81194141)",Being studied for a PHB,30.4469471,-97.81194141
REQ16-000935,LOYOLA LN / COLONY LOOP DR,,TRAFFIC,STUDY,COMPLETED,None Identified,5,268,MAY,2016,6900,,LOYOLA LN,6700,,COLONY LOOP DR,TVL16-000175,"(30.2978017, -97.6416747)",,30.2978017,-97.6416747
REQ14-001475,HARRIS BRANCH PKWY / ST MERRYN RD,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,104,290,DEC,2017,11216,,HARRIS BRANCH PKWY,11112,,ST MERRYN RD,PVL17-001935,"(30.3473896, -97.6137139)",,30.3473896,-97.6137139
REQ14-001480,WEST GATE BLVD / HIDDEN OAKS DR,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,116,235,DEC,2017,7209,,WEST GATE BLVD,2605,,HIDDEN OAKS DR,PVL17-001930,"(30.203448, -97.8174736)",,30.203448,-97.8174736
REQ14-000025,8400 BLK N FM 620 RD,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,27,160,DEC,2016,8400,N,FM 620 RD,0,,,TVL16-002255,"(30.42473, -97.844064)",,30.42473,-97.844064
REQ15-000725,ANDERSON LN / MULLEN DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,18,153,DEC,2015,1900,W,ANDERSON LN,7800,,MULLEN DR,TVL15-000460,"(30.3538418, -97.72601836)",,30.3538418,-97.72601836
REQ15-000725,ANDERSON LN / MULLEN DR,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,40,152,DEC,2017,1900,W,ANDERSON LN,7800,,MULLEN DR,TVL17-003600,"(30.3538418, -97.72601836)",,30.3538418,-97.72601836
REQ15-000745,ST ELMO RD / SOUTH INDUSTRIAL DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,31,155,DEC,2016,2023,E,ST ELMO RD,4201,,SOUTH INDUSTRIAL DR,TVL16-003230,"(30.208818, -97.744413)",,30.208818,-97.744413
REQ15-000755,MARTIN LUTHER KING JR BLVD / OLDFORT HILL DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,127,6,DEC,2016,5188,E,MARTIN LUTHER KING JR BLVD,4700,,OLDFORT HILL DR,TVL16-003245,"(30.28656, -97.6752189)",,30.28656,-97.6752189
REQ15-000755,MARTIN LUTHER KING JR BLVD / OLDFORT HILL DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,35,8,DEC,2015,5188,E,MARTIN LUTHER KING JR BLVD,4700,,OLDFORT HILL DR,TVL15-000430,"(30.28656, -97.6752189)",,30.28656,-97.6752189
REQ15-000770,1ST ST / 1ST ST (Akins High School - Main Entrance),Akins High School - Main Entrance,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,12,193,DEC,2016,10700,S,1ST ST,10800,S,1ST ST,TVL16-003240,"(30.149516, -97.80269)",@ Akins HS,30.149516,-97.80269
REQ15-000770,1ST ST / 1ST ST (Akins High School - Main Entrance),Akins High School - Main Entrance,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,12,193,DEC,2015,10700,S,1ST ST,10800,S,1ST ST,TVL15-000340,"(30.149516, -97.80269)",@ Akins HS,30.149516,-97.80269
REQ16-000810,WEBBERVILLE RD / TANNEHILL LN,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,91,83,DEC,2017,1918,,WEBBERVILLE RD,4414,,TANNEHILL LN,TVL17-003595,"(30.283966, -97.6716326)",,30.283966,-97.6716326
REQ14-000975,1ST ST / PHILCO DR,,PHB,NOT RECOMMENDED,COMPLETED,1/4 Cent,62,362,JUL,2014,4517,S,1ST ST,601,,PHILCO DR,PVL14-000540,,Does not meet PHB installation requirements.,30.218025,-97.7748071
REQ15-000655,SLAUGHTER LN / ZUNIGA DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,29,55,DEC,2015,4500,W,SLAUGHTER LN,9401,,ZUNIGA DR,TVL15-000380,"(30.1965319, -97.8602275)",,30.1965319,-97.8602275
REQ15-000710,6TH ST / SAN MARCOS ST,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,55,115,DEC,2016,900,E,6TH ST,600,,SAN MARCOS ST,TVL16-003270,"(30.2651158, -97.7325274)",,30.2651158,-97.7325274
REQ15-000710,6TH ST / SAN MARCOS ST,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,24,175,DEC,2017,900,E,6TH ST,600,,SAN MARCOS ST,TVL17-003585,"(30.2651158, -97.7325274)",,30.2651158,-97.7325274
REQ15-000715,BLUEBONNET LN / ANITA DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,114,35,DEC,2016,1604,,BLUEBONNET LN,1801,,ANITA DR,TVL16-002655,"(30.2548272, -97.7720312)",,30.2548272,-97.7720312
REQ16-000870,HOWARD LN / HARRISGLENN DR,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,97,80,DEC,2017,1113,E,HOWARD LN,13300,,HARRISGLENN DR,TVL17-003665,"(30.4062557, -97.64217936)",,30.4062557,-97.64217936
REQ16-000875,FM 969 RD / REGENCY DR,,TRAFFIC,NOT RECOMMENDED,COMPLETED,None Identified,,130,DEC,2016,6100,,FM 969 RD,5000,,REGENCY DR,TVL16-002780,"(30.28507, -97.661974)",Being studied for a PHB.,30.28507,-97.661974
REQ16-000895,SPRINGDALE RD / LYONS RD,,TRAFFIC,NOT RECOMMENDED,COMPLETED,None Identified,7,224,MAY,2016,900,,SPRINGDALE RD,3600,,LYONS RD,TVL16-000215,"(30.260665, -97.698712)",No criteria warranting a signal were met.,30.260665,-97.698712
REQ16-002325,LAMAR BLVD / GRADY DR,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,50,395,DEC,2017,10700,N,LAMAR BLVD,701,W,GRADY DR,PVL17-002295,"(30.375898, -97.68976)",,30.375898,-97.68976
REQ14-001070,LAMAR BLVD / HOUSTON ST,,PHB,NOT RECOMMENDED,COMPLETED,1/4 Cent,5,585,JUL,2014,5502,N,LAMAR BLVD,801,,HOUSTON ST,PVL14-000675,,A traffic signal is recommended for this location.  1/4 Cent funding moved to traffic signal.,30.323225,-97.7280807
REQ16-001075,CAMERON RD / WESTHEIMER DR,,PHB,RECOMMENDED,COMPLETED,None Identified,2,519,MAY,2015,7000,,CAMERON RD,1200,,WESTHEIMER DR,PVL16-000060,,,30.3248199,-97.692986
REQ14-001080,ALLANDALE RD / SHOALWOOD AVE,,PHB,NOT RECOMMENDED,COMPLETED,1/4 Cent,10,386,DEC,2014,2300,,ALLANDALE RD,5900,,SHOALWOOD AVE,PVL14-000715,,Does not meet PHB installation requirements.,30.335215,-97.742951
REQ16-001085,MANCHACA RD / GLEN ALLEN,,PHB,UNDER EVALUATION,COMPLETED,None Identified,7,382,MAY,2015,2900,,MANCHACA RD,2001,,GLEN ALLEN,PVL16-000080,,,30.2408524,-97.7821884
REQ16-001085,MANCHACA RD / GLEN ALLEN,,PHB,UNDER EVALUATION,COMPLETED,None Identified,53,382,DEC,2016,2900,,MANCHACA RD,2001,,GLEN ALLEN,PVL16-000150,,,30.2408524,-97.7821884
REQ16-001100,1ST ST / COPELAND ST (Texas School for the Deaf),Texas School for the Deaf,PHB,STUDY,COMPLETED,None Identified,5,451,MAY,2015,900,S,1ST ST,601,,COPELAND ST,PVL16-000115,,,30.253294,-97.7532196
REQ15-001115,1300 BLK E OLTORF ST (Travis High School),Travis High School,PHB,NOT RECOMMENDED,COMPLETED,1/4 Cent,11,444,DEC,2015,1300,E,OLTORF ST,0,,,PVL15-001050,,Physical constraints prevent installation of a PHB.,30.2347375,-97.7427736
REQ14-001130,GUADALUPE ST / 39TH ST,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,17,504,JUL,2014,3900,,GUADALUPE ST,401,W,39TH ST,PVL14-000175,,,30.3040728,-97.737305
