,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016
,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate,<9th,9th-12th,high_school,some_college,associate,bachelor,graduate
78717,1.3,1.5,11.3,20.5,9.0,34.5,22.0,1.0,1.0,11.4,18.9,10.3,36.7,20.6,1.1,1.2,12.5,19.4,9.8,35.7,20.4,0.8,1.5,11.4,17.6,9.2,37.4,22.1,1.0,0.8,9.8,18.9,7.6,40.8,21.2,1.0,0.8,9.8,18.9,7.6,40.8,21.2
78719,12.6,20.5,21.3,22.5,4.8,7.6,10.8,14.6,25.5,21.8,20.9,1.8,8.0,7.4,18.7,27.8,25.7,15.1,1.8,6.7,4.2,17.4,22.4,35.1,13.1,3.9,5.2,2.9,22.1,24.7,28.1,11.9,4.6,5.7,2.8,22.1,24.7,28.1,11.9,4.6,5.7,2.8
78721,19.5,17.6,29.2,15.1,4.1,10.6,3.8,18.1,17.0,28.7,18.3,3.9,10.9,3.1,17.3,17.3,27.8,20.2,3.4,10.8,3.4,16.1,16.2,29.6,19.0,3.8,11.4,3.8,18.0,11.7,27.4,18.1,3.8,14.4,6.5,18.0,11.7,27.4,18.1,3.8,14.4,6.5
78722,4.7,6.3,11.0,13.4,4.0,42.9,17.6,3.6,4.2,12.1,14.9,3.0,42.6,19.7,4.1,2.1,9.2,16.2,3.9,40.7,23.8,4.8,2.0,10.6,13.5,4.4,42.8,21.9,2.0,2.6,13.1,14.8,3.1,38.9,25.4,2.0,2.6,13.1,14.8,3.1,38.9,25.4
78723,16.3,10.6,21.2,20.0,3.6,17.9,10.4,16.4,8.5,21.6,20.3,3.8,19.3,10.1,14.0,9.0,21.5,18.4,4.1,21.3,11.7,13.5,7.8,21.5,18.2,4.9,21.4,12.7,11.1,7.6,21.0,18.9,4.6,24.2,12.7,11.1,7.6,21.0,18.9,4.6,24.2,12.7
78724,15.8,23.1,28.2,18.0,6.5,5.6,2.7,16.6,22.8,27.8,17.1,5.7,7.3,2.7,17.1,20.5,28.8,16.9,5.9,7.9,2.9,20.3,19.3,27.3,18.4,3.7,7.7,3.3,21.8,16.2,26.8,18.7,4.4,8.8,3.4,21.8,16.2,26.8,18.7,4.4,8.8,3.4
78725,15.7,12.4,21.3,31.2,4.6,12.2,2.6,12.9,14.7,21.8,30.1,3.8,13.1,3.5,16.3,19.8,23.9,23.5,2.3,11.4,2.7,11.1,14.1,25.4,31.3,2.8,12.5,2.9,9.4,16.4,33.0,20.5,3.5,12.5,4.7,9.4,16.4,33.0,20.5,3.5,12.5,4.7
78726,0.2,1.5,10.6,23.1,8.1,32.8,23.8,0.0,2.7,10.4,22.9,8.5,32.1,23.4,0.5,2.5,9.4,21.1,6.1,33.0,27.5,0.4,2.2,8.1,18.7,7.1,35.3,28.1,1.1,2.5,5.9,17.1,4.4,42.8,26.3,1.1,2.5,5.9,17.1,4.4,42.8,26.3
78727,3.6,3.1,13.3,23.0,5.1,34.7,17.1,2.6,3.3,14.0,22.0,5.6,36.0,16.5,1.9,3.4,14.7,22.0,6.1,36.3,15.7,2.8,4.1,14.2,21.5,6.4,35.0,16.0,1.5,4.3,13.3,20.0,6.0,37.0,18.0,1.5,4.3,13.3,20.0,6.0,37.0,18.0
78728,3.4,4.5,17.1,25.5,9.0,27.8,12.7,3.8,4.2,19.0,24.9,9.7,26.4,12.0,4.7,3.4,17.4,24.6,9.7,27.3,12.8,2.9,2.6,20.4,24.6,9.2,28.9,11.4,2.9,2.2,21.5,23.2,8.3,31.3,10.5,2.9,2.2,21.5,23.2,8.3,31.3,10.5
78729,1.8,2.2,15.2,28.4,7.5,32.7,12.3,2.0,2.3,16.0,27.7,7.2,32.7,12.2,1.8,2.3,14.6,29.7,6.7,31.3,13.6,1.2,2.8,14.9,30.1,7.0,31.6,12.4,1.0,3.4,14.3,23.9,8.1,34.1,15.2,1.0,3.4,14.3,23.9,8.1,34.1,15.2
78730,0.0,0.0,4.6,13.4,4.5,42.2,35.2,0.0,0.9,6.5,14.4,6.0,40.9,31.2,0.0,1.0,5.2,13.6,6.1,43.3,30.9,0.3,1.0,5.8,14.6,4.7,42.2,31.5,0.3,1.6,7.0,16.4,5.0,40.4,29.4,0.3,1.6,7.0,16.4,5.0,40.4,29.4
78731,0.3,0.9,5.4,12.2,3.8,40.0,37.5,0.4,0.9,6.5,12.1,4.2,38.9,37.0,0.8,0.8,6.2,13.1,3.7,40.6,34.8,1.0,1.1,6.4,13.0,3.4,40.8,34.3,1.2,0.8,6.8,12.7,3.2,39.4,35.9,1.2,0.8,6.8,12.7,3.2,39.4,35.9
78732,0.0,0.1,6.9,12.1,2.8,48.8,29.3,0.0,0.0,8.5,12.3,3.7,45.9,29.5,0.0,0.0,8.5,10.9,4.8,44.3,31.4,0.3,0.4,7.7,13.0,4.3,42.9,31.5,1.2,1.5,6.3,13.0,6.3,44.3,27.4,1.2,1.5,6.3,13.0,6.3,44.3,27.4
78733,0.8,1.9,10.1,12.9,5.7,34.3,34.4,0.5,1.2,8.9,14.4,4.9,33.9,36.3,0.4,1.7,10.9,11.8,4.0,35.0,36.2,0.4,0.9,9.2,10.0,4.7,38.7,36.0,0.5,1.1,7.2,11.0,4.4,40.7,35.1,0.5,1.1,7.2,11.0,4.4,40.7,35.1
78734,2.0,4.7,14.2,22.5,4.1,34.1,18.4,2.5,3.8,15.8,22.5,4.6,34.0,17.0,2.1,3.8,16.4,22.6,4.6,34.5,16.0,2.5,3.6,14.6,24.4,4.1,33.2,17.5,2.8,3.1,15.4,21.1,4.9,35.3,17.4,2.8,3.1,15.4,21.1,4.9,35.3,17.4
78735,2.9,3.1,8.2,15.0,4.5,41.6,24.7,2.9,2.9,7.8,14.5,4.9,42.5,24.5,2.7,2.7,6.9,16.2,5.0,41.3,25.2,2.6,2.2,7.7,16.9,4.5,38.5,27.5,2.3,2.1,10.6,17.1,3.3,38.1,26.3,2.3,2.1,10.6,17.1,3.3,38.1,26.3
78736,1.7,2.7,18.6,23.1,6.2,30.7,16.9,1.7,3.1,17.6,21.7,6.3,32.3,17.3,1.9,2.7,14.8,21.4,5.2,35.0,19.0,1.3,2.3,17.0,22.9,4.0,32.7,19.8,0.7,1.8,15.3,20.4,6.9,37.2,17.6,0.7,1.8,15.3,20.4,6.9,37.2,17.6
78737,1.7,1.1,10.0,20.0,5.7,37.8,23.7,1.7,1.1,11.5,18.8,5.5,38.4,23.0,1.8,1.5,10.6,17.9,6.0,38.1,24.0,2.0,1.3,12.4,17.9,7.2,37.2,22.0,1.7,1.1,10.3,19.3,7.1,38.6,22.0,1.7,1.1,10.3,19.3,7.1,38.6,22.0
78738,0.4,0.4,7.8,15.9,4.8,47.1,23.6,0.3,0.1,7.7,15.1,5.1,47.1,24.5,0.0,0.3,8.1,14.8,5.8,46.1,24.9,0.0,0.3,8.5,14.4,6.0,46.7,24.0,0.4,0.4,10.0,13.8,5.2,45.8,24.5,0.4,0.4,10.0,13.8,5.2,45.8,24.5
78739,0.7,0.6,7.3,15.8,5.5,43.4,26.8,0.7,0.2,7.0,15.9,5.0,43.8,27.4,0.6,0.3,7.1,15.9,4.5,44.5,27.0,0.6,1.0,5.9,15.6,5.1,45.0,26.8,0.0,1.4,6.9,14.9,5.1,43.9,27.7,0.0,1.4,6.9,14.9,5.1,43.9,27.7
